;state_code;county_code;site_num;address;state;county;city;date_local;unit_NO2;mean_NO2;firstMV_NO2;firstMH_NO2;aqi_NO2;unit_O3;mean_O3;firstMV_O3;firstMH_O3;aqi_O3;unit_SO2;mean_SO2;firstMV_SO2;firstMH_SO2;aqi_SO2;unit_CO;mean_CO;firstMV_CO;firstMH_CO;aqi_CO
233602;20;209;21;1210 N. 10TH ST.,JFK RECREATION CENTER;Kansas;Wyandotte;Kansas City;2002-05-17;Parts per billion;12.208333;28.0;22;26;Parts per million;0.019833;0.034;10;29;Parts per billion;2.958333;7.0;11;10.0;Parts per million;0.383333;0.7;23;8.0
415044;34;7;3;"COPEWOOD E. DAVIS STS; TRAILER";New Jersey;Camden;Camden;2004-03-29;Parts per billion;8.083333;14.0;7;13;Parts per million;0.036542000000000005;0.039;12;33;Parts per billion;1.875;3.0;10;4.0;Parts per million;0.295652;0.5;6;
378946;6;65;8001;5888 MISSION BLVD., RUBIDOUX;California;Riverside;Rubidoux;2004-03-17;Parts per billion;39.434783;68.0;22;66;Parts per million;0.019333000000000003;0.046;10;39;Parts per billion;5.285714;7.0;8;;Parts per million;1.208696;2.2;6;
9053;6;13;3001;583 W. 10TH ST., PITTSBURG;California;Contra Costa;Pittsburg;2000-10-30;Parts per billion;12.695652;25.0;9;24;Parts per million;0.01775;0.027000000000000003;0;23;Parts per billion;1.0;1.0;0;1.0;Parts per million;0.5375;0.7;12;8.0
115383;6;67;6;DEL PASO-2701 AVALON DR, SACRAMENTO;California;Sacramento;Arden-Arcade;2001-08-31;Parts per billion;12.043478;18.0;6;17;Parts per million;0.032708;0.067;11;74;Parts per billion;3.0142860000000002;4.6;17;;Parts per million;0.158333;0.2;8;2.0
351385;42;101;4;1501 E. LYCOMING AVE.;Pennsylvania;Philadelphia;Philadelphia;2003-06-10;Parts per billion;27.125;50.0;5;47;Parts per million;0.036208;0.051;11;43;Parts per billion;2.775;5.3;2;;Parts per million;0.4333329999999999;0.8;5;
245977;34;7;3;"COPEWOOD E. DAVIS STS; TRAILER";New Jersey;Camden;Camden;2002-06-30;Parts per billion;18.25;35.0;7;33;Parts per million;0.054333000000000006;0.075;10;100;Parts per billion;11.0;34.0;1;49.0;Parts per million;0.483333;0.7;5;
325318;22;33;9;1061-A Leesville Ave;Louisiana;East Baton Rouge;Baton Rouge;2003-01-21;Parts per billion;15.416667000000002;36.0;7;34;Parts per million;0.021875;0.0279999999999999;10;24;Parts per billion;2.4347830000000004;5.0;7;7.0;Parts per million;0.725;0.8;6;9.0
390270;6;83;1025;LFC #1-LAS FLORES CANYON;California;Santa Barbara;Capitan;2004-04-25;Parts per billion;3.333333;7.0;8;7;Parts per million;0.06973700000000001;0.08;18;111;Parts per billion;1.15;2.0;14;;Parts per million;0.277778;0.4;8;
99323;6;13;1003;UNIT 759 EL PORTAL SHOPPING CENTER, San Pablo;California;Contra Costa;San Pablo;2001-08-06;Parts per billion;9.391304;16.0;6;15;Parts per million;0.0129169999999999;0.02;10;17;Parts per billion;1.142857;3.0;7;4.0;Parts per million;0.3;0.4;9;5.0
145895;21;101;13;NORTH GREEN STREET;Kentucky;Henderson;Henderson;2001-03-17;Parts per billion;7.0434779999999995;16.0;22;15;Parts per million;0.024125;0.033;9;28;Parts per billion;2.130435;4.0;20;6.0;Parts per million;0.130435;0.3;22;
131453;6;111;3001;545 CENTRAL AVENUE, OXNARD, CA  93030;California;Ventura;Not in a city;2001-03-26;Parts per billion;12.869565;23.0;18;22;Parts per million;0.019833;0.039;10;33;Parts per billion;6.73913;12.0;9;17.0;Parts per million;0.265217;0.4;6;
226385;12;95;2002;MORRIS BLVD.;Florida;Orange;Winter Park;2002-02-15;Parts per billion;20.833333;57.0;19;54;Parts per million;0.017125;0.036000000000000004;10;31;Parts per billion;0.291667;2.0;9;3.0;Parts per million;0.541667;1.2;8;
32343;6;83;2011;380 N FAIRVIEW AVENUE, GOLETA;California;Santa Barbara;Goleta;2000-11-09;Parts per billion;4.0434779999999995;13.0;22;12;Parts per million;0.03125;0.036000000000000004;10;31;Parts per billion;0.0;0.0;8;;Parts per million;0.1875;0.6;0;7.0
259386;42;17;12;ROCKVIEW LANE;Pennsylvania;Bucks;Bristol;2002-04-27;Parts per billion;11.166667;25.0;5;24;Parts per million;0.035583;0.045;10;38;Parts per billion;0.525;3.0;17;;Parts per million;0.0875;0.4;0;5.0
108549;6;37;4002;3648 N. LONG BEACH BLVD., LONG BEACH;California;Los Angeles;Long Beach;2001-11-12;Parts per billion;25.304348;35.0;9;33;Parts per million;0.01175;0.021;11;18;Parts per billion;0.2173909999999999;1.0;5;1.0;Parts per million;1.075;1.8;8;20.0
255470;40;115;9004;QUAPAW TRIBE'S INDUSTRIAL PARK, MIAMI;Oklahoma;Ottawa;Miami;2002-06-27;Parts per billion;8.041667;20.0;21;19;Parts per million;0.043292000000000004;0.065;10;67;Parts per billion;0.25;1.0;3;1.0;Parts per million;0.1;0.1;0;1.0
270242;47;121;104;8401 HIGHWAY 60;Tennessee;Meigs;Not in a city;2002-07-14;Parts per billion;1.347826;3.0;22;3;Parts per million;0.0285;0.0559999999999999;10;47;Parts per billion;1.2875;2.3;8;;Parts per million;1.0;1.0;0;11.0
57953;29;189;6;305 WEIDMAN ROAD (QUEENY);Missouri;Saint Louis;Not in a city;2000-06-30;Parts per billion;13.833332999999998;27.0;8;25;Parts per million;0.010333;0.0279999999999999;9;24;Parts per billion;0.4875;3.3;11;;Parts per million;0.733333;0.9;5;10.0
35791;6;95;4;304 TUOLUMNE ST.;California;Solano;Vallejo;2000-04-07;Parts per billion;12.956522;24.0;12;23;Parts per million;0.024833;0.0289999999999999;12;25;Parts per billion;1.5;2.0;14;;Parts per million;0.5375;0.6;0;7.0
230686;18;97;73;NAVAL AVIONICS CENTER, 6125 E. 16TH ST.;Indiana;Marion;Indianapolis (Remainder);2002-04-03;Parts per billion;11.25;19.0;19;18;Parts per million;0.023375;0.034;10;29;Parts per billion;1.0;1.0;2;;Parts per million;0.3;0.3;0;3.0
386585;6;73;2007;1100 PASEO INTERNATIONAL, OTAY MESA, CA;California;San Diego;San Diego;2004-04-05;Parts per billion;13.130435;22.0;5;21;Parts per million;0.039042;0.049;9;42;Parts per billion;4.0434779999999995;5.0;5;7.0;Parts per million;0.879167;0.9;5;10.0
384400;6;73;1;80 E. 'J' ST., CHULA VISTA;California;San Diego;Chula Vista;2004-10-02;Parts per billion;15.227273;34.0;22;32;Parts per million;0.031917;0.05;11;42;Parts per billion;2.0;2.0;0;3.0;Parts per million;0.6863640000000001;1.1;22;
422110;40;21;9002;P.O. BOX 948   TAHLEQUAH, OK  74464;Oklahoma;Cherokee;Park Hill;2004-06-14;Parts per billion;4.0;13.0;20;12;Parts per million;0.023292;0.04;9;34;Parts per billion;0.041667;1.0;6;1.0;Parts per million;0.0;0.0;0;0.0
309068;6;83;2011;380 N FAIRVIEW AVENUE, GOLETA;California;Santa Barbara;Goleta;2003-10-06;Parts per billion;5.95;11.0;9;10;Parts per million;0.0342779999999999;0.04;11;34;Parts per billion;0.0;0.0;0;0.0;Parts per million;0.283333;0.3;0;3.0
302598;6;73;2007;1100 PASEO INTERNATIONAL, OTAY MESA, CA;California;San Diego;San Diego;2003-03-13;Parts per billion;21.478261;49.0;8;46;Parts per million;0.04;0.053;10;45;Parts per billion;3.871429;4.6;2;;Parts per million;1.008333;1.6;10;18.0
308243;6;83;2011;380 N FAIRVIEW AVENUE, GOLETA;California;Santa Barbara;Goleta;2003-02-14;Parts per billion;5.695652;10.0;16;9;Parts per million;0.0238099999999999;0.0289999999999999;10;25;Parts per billion;0.190476;2.0;5;3.0;Parts per million;0.27826100000000004;0.4;7;
387775;6;75;5;10 ARKANSAS ST.;California;San Francisco;San Francisco;2004-02-03;Parts per billion;21.521739;36.0;8;34;Parts per million;0.017667;0.026000000000000002;9;22;Parts per billion;0.742857;1.3;23;;Parts per million;0.5125;0.6;0;7.0
175916;42;133;8;HILL ST.;Pennsylvania;York;York;2001-10-29;Parts per billion;28.333333000000003;37.0;20;35;Parts per million;0.006875;0.019;9;16;Parts per billion;9.291667;27.0;19;39.0;Parts per million;0.3125;0.5;8;6.0
425403;42;7;14;EIGHT STREET AND RIVER ALLEY;Pennsylvania;Beaver;Beaver Falls;2004-05-18;Parts per billion;11.0;21.0;23;20;Parts per million;0.021542;0.035;10;30;Parts per billion;6.9166669999999995;32.0;16;46.0;Parts per million;0.2375;0.5;23;
437164;42;133;8;HILL ST.;Pennsylvania;York;York;2004-06-23;Parts per billion;14.791667000000002;37.0;6;35;Parts per million;0.0409999999999999;0.067;11;74;Parts per billion;2.5;13.0;10;19.0;Parts per million;0.491667;0.6;6;7.0
316457;11;1;41;420 34th Street N.E.,Washington, DC 20019;District Of Columbia;District of Columbia;Washington;2003-05-18;Parts per billion;18.041667;29.0;19;27;Parts per million;0.012417000000000001;0.019;9;16;Parts per billion;3.208333;4.0;19;6.0;Parts per million;0.945833;1.5;23;
193263;6;25;5;1029 ETHEL ST, CALEXICO HIGH SCHOOL;California;Imperial;Calexico;2002-02-09;Parts per billion;8.826087;26.0;0;25;Parts per million;0.028375;0.037000000000000005;9;31;Parts per billion;0.128571;0.3;8;;Parts per million;0.386957;0.8;0;
435355;42;125;5;CHARLER01 WASTE TREATMENT PLANT;Pennsylvania;Washington;Charleroi;2004-05-20;Parts per billion;9.0;17.0;0;16;Parts per million;0.020708;0.039;12;33;Parts per billion;4.0833330000000005;11.0;10;16.0;Parts per million;0.022727;0.2;0;
21282;6;71;306;14306 PARK AVE., VICTORVILLE, CA;California;San Bernardino;Victorville;2000-02-25;Parts per billion;18.695652;39.0;19;37;Parts per million;0.019708;0.046;9;39;Parts per billion;0.695652;2.0;20;3.0;Parts per million;0.321739;1.3;22;
407453;20;209;21;1210 N. 10TH ST.,JFK RECREATION CENTER;Kansas;Wyandotte;Kansas City;2004-06-10;Parts per billion;8.875;15.0;0;14;Parts per million;0.017083;0.022000000000000002;10;19;Parts per billion;0.0;0.0;0;0.0;Parts per million;0.35;0.4;12;5.0
150327;26;163;16;2451 MARQUETTE;Michigan;Wayne;Detroit;2001-06-30;Parts per billion;16.583333;46.0;5;43;Parts per million;0.060208000000000005;0.077;10;104;Parts per billion;2.458333;6.0;9;9.0;Parts per million;0.3083329999999999;0.5;0;
303191;6;73;2007;1100 PASEO INTERNATIONAL, OTAY MESA, CA;California;San Diego;San Diego;2003-08-12;Parts per billion;23.952381;43.0;8;41;Parts per million;0.017435;0.036000000000000004;9;31;Parts per billion;2.4761900000000003;5.0;4;7.0;Parts per million;1.209524;2.0;5;
