;state_code;county_code;site_num;address;state;county;city;date_local;unit_NO2;mean_NO2;firstMV_NO2;firstMH_NO2;aqi_NO2;unit_O3;mean_O3;firstMV_O3;firstMH_O3;aqi_O3;unit_SO2;mean_SO2;firstMV_SO2;firstMH_SO2;aqi_SO2;unit_CO;mean_CO;firstMV_CO;firstMH_CO;aqi_CO
261506;42;69;2006;GEORGE ST TROOP AND CITY OF SCRANTON;Pennsylvania;Lackawanna;Scranton;2002-08-18;Parts per billion;10.125;27.0;20;25;Parts per million;0.03325;0.045;10;38;Parts per billion;4.6375;9.6;11;;Parts per million;0.029167000000000002;0.1;0;1.0
441386;48;141;58;5050A Yvette Drive;Texas;El Paso;El Paso;2004-09-06;Parts per billion;2.333333;13.0;1;12;Parts per million;0.050542000000000004;0.06;10;51;Parts per billion;0.0;0.0;2;;Parts per million;0.129167;0.2;0;2.0
383313;6;73;1;80 E. 'J' ST., CHULA VISTA;California;San Diego;Chula Vista;2004-01-03;Parts per billion;15.782608999999999;37.0;19;35;Parts per million;0.020708;0.038;9;32;Parts per billion;2.869565;3.0;4;4.0;Parts per million;0.5125;0.8;23;9.0
109394;6;37;5001;5234 W. 120TH ST., HAWTHORNE;California;Los Angeles;Hawthorne;2001-06-11;Parts per billion;15.043478;36.0;3;34;Parts per million;0.036875;0.052000000000000005;8;44;Parts per billion;3.642857;6.6;11;;Parts per million;0.12173900000000001;0.5;6;
187641;6;13;10;1098 POMONA STREET;California;Contra Costa;Crockett;2002-01-19;Parts per billion;14.541667000000002;22.0;1;21;Parts per million;0.012625;0.02;9;17;Parts per billion;2.708333;3.0;0;4.0;Parts per million;0.1;0.1;0;
184762;6;1;10;6701 INTERNATIONAL BLVD;California;Alameda;Oakland;2002-01-09;Parts per billion;23.333333;30.0;17;28;Parts per million;0.002208;0.0069999999999999;9;6;Parts per billion;1.425;3.0;17;;Parts per million;0.358333;1.3;23;15.0
192369;6;13;3001;583 W. 10TH ST., PITTSBURG;California;Contra Costa;Pittsburg;2002-07-01;Parts per billion;9.956522;20.0;5;19;Parts per million;0.050375;0.077;11;104;Parts per billion;2.590909;8.0;19;11.0;Parts per million;0.491304;1.1;5;
151673;29;510;86;MARGARETTA: 4520 Margaretta, St. Louis, MO 63115;Missouri;St. Louis City;St. Louis;2001-05-04;Parts per billion;26.458333000000003;52.0;5;49;Parts per million;0.0315;0.0559999999999999;10;47;Parts per billion;5.375;16.3;8;;Parts per million;0.570833;0.8;5;
7165;6;13;1003;UNIT 759 EL PORTAL SHOPPING CENTER, San Pablo;California;Contra Costa;San Pablo;2000-07-14;Parts per billion;7.869565;12.0;11;11;Parts per million;0.022708000000000002;0.024;7;20;Parts per billion;2.227273;3.0;2;4.0;Parts per million;0.3125;0.4;12;5.0
87778;51;59;5;CUB RUN LEE RD CHANT.(CUBRUN TREAT PLANT;Virginia;Fairfax;Not in a city;2000-11-26;Parts per billion;10.0;21.0;1;20;Parts per million;0.008375;0.018000000000000002;9;15;Parts per billion;0.9875;2.3;14;;Parts per million;0.475;0.7;23;
191739;6;13;3001;583 W. 10TH ST., PITTSBURG;California;Contra Costa;Pittsburg;2002-01-24;Parts per billion;24.142857;36.0;6;34;Parts per million;0.008952;0.02;9;17;Parts per billion;1.366667;2.0;2;;Parts per million;1.085;2.5;6;
